Rank,Market,Region,Investment_Performance,Market_Fundamentals,Listed_Vehicles,Regulatory_and_Legal,Transaction_Process,Composite_Score
1,英国,ヨーロッパ,1.0,1.5,1.0,1.3,1.3,1.2
2,オーストラリア,アジア太平洋,1.3,1.5,1.1,1.3,1.0,1.3
3,カナダ,アメリカ大陸,1.6,1.3,1.2,1.1,1.2,1.3
4,米国,アメリカ大陸,1.2,1.4,1.0,1.4,1.3,1.3
5,フランス,ヨーロッパ,1.3,1.7,1.4,1.3,1.1,1.3
6,ニュージーランド,アジア太平洋,1.8,1.4,1.1,1.5,1.0,1.4
7,オランダ,ヨーロッパ,1.5,1.4,1.4,1.6,1.4,1.5
8,アイルランド,ヨーロッパ,2.3,1.7,1.0,1.4,1.0,1.6
9,ドイツ,ヨーロッパ,1.8,1.8,1.3,1.7,1.3,1.7
10,フィンランド,ヨーロッパ,1.9,2.0,1.1,1.7,1.1,1.7
11,シンガポール,アジア太平洋,2.0,1.8,1.5,1.7,2.0,1.8
12,スウェーデン,ヨーロッパ,1.9,2.6,1.5,1.7,1.2,1.8
13,ポーランド,ヨーロッパ,2.7,1.8,1.8,1.5,1.3,1.9
14,スイス,ヨーロッパ,1.4,3.2,1.1,1.8,1.3,1.9
15,香港,アジア太平洋,2.1,1.6,2.0,1.8,1.9,1.9
16,ベルギー,ヨーロッパ,2.2,2.3,1.1,1.9,1.4,1.9
17,デンマーク,ヨーロッパ,2.9,2.0,1.5,1.5,1.2,1.9
18,ノルウェー,ヨーロッパ,2.5,2.6,1.6,1.6,1.4,2.0
19,日本,アジア太平洋,1.7,2.9,2.1,1.6,2.1,2.0
20,チェコ共和国,ヨーロッパ,2.9,2.1,2.4,1.6,1.5,2.1
21,イタリア,ヨーロッパ,2.0,2.2,2.0,2.4,1.7,2.1
22,スペイン,ヨーロッパ,2.5,2.1,1.8,2.3,1.3,2.1
23,台湾,アジア太平洋,2.9,2.0,2.1,1.9,1.6,2.1
24,オーストリア,ヨーロッパ,2.3,3.0,1.3,1.9,2.0,2.2
25,南アフリカ,アフリカ大陸,2.2,3.7,1.2,1.8,1.8,2.2
26,ハンガリー,ヨーロッパ,2.9,2.5,2.3,1.8,1.8,2.3
27,ポルトガル,ヨーロッパ,2.6,2.9,2.2,1.9,1.7,2.3
28,マレーシア,アジア太平洋,2.7,2.1,2.2,2.4,2.2,2.3
29,スロバキア,ヨーロッパ,3.5,2.6,2.2,1.8,1.6,2.4
30,ルーマニア,ヨーロッパ,3.8,2.5,2.0,1.8,1.4,2.4
31,イスラエル,ヨーロッパ,3.1,4.1,2.1,1.8,1.1,2.5
32,メキシコ,アメリカ大陸,3.6,3.1,1.4,2.1,1.6,2.5
33,中国1級,アジア太平洋,2.4,2.0,3.3,2.6,2.8,2.5
34,ブラジル1級,アメリカ大陸,3.0,2.9,2.0,2.3,2.2,2.5
35,ルクセンブルグ,ヨーロッパ,3.4,3.1,1.9,2.2,1.7,2.6
36,インド1級,アジア太平洋,3.1,2.9,2.1,2.3,2.2,2.6
37,ギリシャ,ヨーロッパ,2.9,3.3,2.5,2.3,2.2,2.6
38,タイ,アジア太平洋,3.0,2.4,2.2,2.7,2.6,2.6
39,インド2級,アジア太平洋,3.1,2.9,2.1,2.4,2.3,2.6
40,韓国,アジア太平洋,3.2,2.8,3.2,1.9,2.7,2.7
41,ボツワナ,アフリカ大陸,3.3,2.9,2.3,2.3,2.0,2.7
